939	195	1008	236
939	195	1008	236
939	195	1008	236
784	172	826	201
1139	95	1181	129
1818	128	1869	166
1052	1394	1122	1440
1396	792	1459	843
448	381	514	419
1151	214	1214	263
106	676	168	717
617	988	668	1024
572	210	622	240
655	242	701	274
708	158	756	194
428	274	480	309
0	1341	45	1436
67	1402	142	1440
934	270	1041	338
1274	434	1335	476
127	1072	203	1148
205	911	250	952
1842	1223	1920	1324
442	1177	509	1219
160	702	241	749
477	1374	564	1440
970	1372	1096	1440
583	282	646	326
686	595	764	634
1171	1294	1268	1372
1604	343	1672	384
516	211	562	245
657	839	736	908
1038	749	1102	820
20	1031	121	1085
1364	653	1455	710
191	1152	280	1280
574	1194	656	1240
1602	710	1677	754
1778	544	1844	599
431	568	486	610
968	956	1046	1002
1594	472	1676	529
1785	848	1899	914
524	1282	616	1349
1204	974	1298	1035
254	1203	369	1304
746	938	811	1007
687	501	758	594
1030	975	1109	1029
67	1210	148	1306
1386	845	1464	913
1582	869	1700	944
1118	450	1189	540
1076	595	1280	715
792	610	968	707
919	0	1051	104
995	1140	1082	1244
824	757	1018	866
570	607	599	632
778	293	820	322
473	56	571	139
50	341	223	433
903	677	972	721
1496	241	1583	308
903	677	972	721
1496	241	1583	308
903	677	972	721
1496	241	1583	308
903	677	972	721
1496	241	1583	308
903	677	972	721
1496	241	1583	308
546	502	644	562
969	1288	1034	1342
1756	16	1804	61
768	115	812	140
0	1108	61	1157
1060	684	1124	723
1876	989	1920	1094
1594	151	1670	213
831	410	891	447
832	91	876	118
963	253	1041	293
1536	607	1629	687
1452	744	1524	844
454	663	501	718
1552	511	1612	588
3	653	75	696
945	484	1010	560
1078	414	1141	461
1069	658	1219	778
1452	734	1515	779
1768	680	1834	738
564	209	621	267
529	155	605	190
735	381	836	445
253	381	297	433
1640	109	1696	152
1646	699	1718	782
26	826	135	886
37	1147	116	1199
292	203	376	253
706	171	766	219
1202	591	1265	643
416	629	508	672
145	387	238	463
714	53	776	95
1698	104	1764	154
932	940	997	1030
1491	411	1570	493
1384	252	1478	314
1611	457	1731	522
1818	201	1914	256
1152	821	1230	919
389	408	465	455
1384	567	1466	626
91	1367	181	1440
256	502	356	557
1750	145	1838	201
1115	1036	1175	1118
792	1372	900	1440
1694	1194	1778	1330
573	1194	645	1304
605	1354	664	1409
1268	950	1331	1046
512	231	578	272
452	906	544	1005
750	985	856	1045
892	1208	953	1312
1209	350	1316	421
872	740	976	892
473	1097	600	1177
818	50	892	91
421	306	525	364
491	584	529	613
